NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PERS_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GECOMPLR,CHECKER,ENT_DATE,BEG_CHG_TY,END_CHG_TY
Hai Zhou,海州,海州,0.0,0.0,,Zhou,州,3,625,4,667,4,91408,POLYGON,91408,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,辖区缩小
Hai Zhou,海州,海州,0.0,0.0,,Zhou,州,3,668,4,673,4,91411,POLYGON,91411,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,辖区扩大
Hai Zhou,海州,海州,0.0,0.0,,Zhou,州,3,674,4,741,4,91409,POLYGON,91409,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,更名
Donghai Jun,东海郡,東海郡,0.0,0.0,,Jun,郡,3,742,4,757,4,91410,POLYGON,91410,FROM_FD,王文楚,满志敏,,2005/01/25,更名,更名
Hai Zhou,海州,海州,0.0,0.0,,Zhou,州,3,758,4,1141,4,91369,POLYGON,91369,FROM_FD,王文楚,满志敏,,2005/01/25,更名,辖区扩大
Hai Zhou,海州,海州,0.0,0.0,,Zhou,州,3,1142,4,1161,4,91370,POLYGON,91370,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,辖区缩小
Hai Zhou,海州,海州,0.0,0.0,,Zhou,州,3,1162,4,1163,4,91503,POLYGON,91503,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,辖区扩大
Hai Zhou,海州,海州,0.0,0.0,,Zhou,州,3,1164,4,1219,4,91504,POLYGON,91504,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,辖区缩小
Hai Zhou,海州,海州,0.0,0.0,,Zhilizhou,直隶州,3,1220,4,1277,4,33317,POLYGON,91130,FROM_FD,王文楚,满志敏,,2004/09/25,辖区缩小,更名
Haizhou Lu,海州路,海州路,0.0,0.0,,Lu,路,3,1278,4,1278,4,33318,POLYGON,91131,FROM_FD,王文楚,满志敏,,2004/09/25,更名,更名
Haining Fu,海宁府,海寧府,0.0,0.0,,Fu,府,3,1279,4,1282,4,33319,POLYGON,91132,FROM_FD,王文楚,满志敏,,2004/09/25,更名,撤销
Hai Zhou,海州,海州,0.0,0.0,,Zhilizhou,直隶州,3,1724,4,1911,6,33323,POLYGON,91136,FROM_FD,王文楚,满志敏,,2004/09/25,新建,数据下限
Pi Zhou,邳州,邳州,0.0,0.0,,Zhou,州,3,583,4,606,4,91509,POLYGON,91509,FROM_FD,王文楚,满志敏,,2005/01/25,新建,撤销
Pi Zhou,邳州,邳州,0.0,0.0,,Zhou,州,3,621,4,626,4,91395,POLYGON,91395,FROM_FD,王文楚,满志敏,,2005/01/25,新建,撤销
Huaiyang Jun,淮阳军,淮陽軍,0.0,0.0,,Jun,军,3,982,4,1214,4,91367,POLYGON,91367,FROM_FD,王文楚,满志敏,,2005/01/25,新建,更名
Pi Zhou,邳州,邳州,0.0,0.0,,Zhou,州,3,1215,4,1217,4,91368,POLYGON,91368,FROM_FD,王文楚,满志敏,,2005/01/25,更名,辖区缩小
Pi Zhou,邳州,邳州,0.0,0.0,,Zhou,州,3,1218,4,1263,4,91523,POLYGON,91523,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,辖区扩大
Pi Zhou,邳州,邳州,0.0,0.0,,Zhou,州,3,1264,4,1270,4,91524,POLYGON,91524,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,撤销
Pi Zhou,邳州,邳州,0.0,0.0,,Zhilizhou,直隶州,3,1724,4,1732,4,33320,POLYGON,91133,FROM_FD,王文楚,满志敏,,2004/09/25,新建,撤销
Xiong Zhou,雄州,雄州,0.0,0.0,,Zhou,州,3,937,4,955,4,91399,POLYGON,91399,FROM_FD,王文楚,满志敏,,2005/01/25,新建,撤销
Jian'an Jun,建安军,建安軍,0.0,0.0,,Jun,军,3,964,4,984,4,91386,POLYGON,91386,FROM_FD,王文楚,满志敏,,2005/01/25,新建,辖区扩大
Jian'an Jun,建安军,建安軍,0.0,0.0,,Jun,军,3,985,4,995,4,91361,POLYGON,91361,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,辖区扩大
Jian'an Jun,建安军,建安軍,0.0,0.0,,Jun,军,3,996,4,1012,4,91447,POLYGON,91447,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,更名和辖区缩小
Zhen Zhou,真州,真州,0.0,0.0,,Zhou,州,3,1013,4,1276,4,91371,POLYGON,91371,FROM_FD,王文楚,满志敏,,2005/01/25,更名和辖区缩小,更名和辖区扩大
Zhenzhou Lu,真州路,真州路,0.0,0.0,,Lu,路,3,1277,4,1283,4,33304,POLYGON,91104,FROM_FD,王文楚,满志敏,,2004/09/25,更名和辖区扩大,撤销
Jianwu Jun,建武军,建武軍,0.0,0.0,,Jun,军,3,938,4,956,4,91470,POLYGON,91470,FROM_FD,邹逸麟,满志敏,,2005/01/25,新建,更名
Xiong Zhou,雄州,雄州,0.0,0.0,,Zhou,州,3,957,4,975,4,91293,POLYGON,91293,FROM_FD,邹逸麟,满志敏,,2005/01/25,更名,更名
Tianchang Jun,天长军,天長軍,0.0,0.0,,Jun,军,3,976,4,995,4,91483,POLYGON,91483,FROM_FD,邹逸麟,满志敏,,2005/01/25,更名,撤销
Tianchang Jun,天长军,天長軍,0.0,0.0,,Jun,军,3,1127,4,1129,4,91532,POLYGON,91532,FROM_FD,邹逸麟,满志敏,,2005/01/25,新建,撤销
Xuyi Jun,盱眙军,盱眙軍,0.0,0.0,,Jun,军,3,1129,4,1129,4,91484,POLYGON,91484,FROM_FD,邹逸麟,满志敏,,2005/01/25,新建,撤销
Tianchang Jun,天长军,天長軍,0.0,0.0,,Jun,军,3,1141,4,1141,4,91482,POLYGON,91482,FROM_FD,邹逸麟,满志敏,,2005/01/25,新建,更名
